FID,id,site_id,country,owner,area_name,status,farmtype,prod_method,prod_stage,purpose,species,position_info,point_def,distance_to_shore_m,costal_inland,the_geom,eurostatcode,species_group,species_name,speciesid,x,y
shellfish.5404,302,UK_0293,United Kingdom,Celtic Sea Ltd,n.a.,Active,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,299.3767441,At sea,POINT (-5.54552705499998 56.2415371480001),MUS,Mussels,Blue mussels - Mytilus edulis,127,-5.5455270549999804,56.2415371480001
shellfish.5405,303,UK_0294,United Kingdom,Shetland Mussels Ltd,n.a.,Inactive,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,194.23142219,At sea,POINT (-1.30364297299997 60.121128866),MUS,Mussels,Blue mussels - Mytilus edulis,127,-1.30364297299997,60.121128866
shellfish.5406,304,UK_0295,United Kingdom,Loch Fyne Oysters Ltd,n.a.,Active,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,263.36428698,At sea,POINT (-6.93979545199994 58.2008134450001),MUS,Mussels,Blue mussels - Mytilus edulis,127,-6.93979545199994,58.2008134450001
shellfish.5407,306,UK_0296,United Kingdom,Suthra Voe Shellfish,n.a.,Active,Mussels,Rafts,"Grow out for human consumption, Nursery",n.a.,Common mussel,Original,Farm,156.88566721,At sea,POINT (-1.43695120899997 60.3228902060001),MUS,Mussels,Blue mussels - Mytilus edulis,127,-1.43695120899997,60.3228902060001
shellfish.5408,307,UK_0297,United Kingdom,Blueshell Mussels Ltd,n.a.,Active,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,352.31065673,At sea,POINT (-1.37348598299997 60.3279937390001),MUS,Mussels,Blue mussels - Mytilus edulis,127,-1.37348598299997,60.3279937390001
shellfish.5409,309,UK_0299,United Kingdom,Uig Seafare Ltd,n.a.,Active,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,194.05232729,At sea,POINT (-6.85418230299996 58.1978075900001),MUS,Mussels,Blue mussels - Mytilus edulis,127,-6.85418230299996,58.1978075900001
shellfish.5410,310,UK_0300,United Kingdom,Blueshell Mussels Ltd,n.a.,Active,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,185.99028345,At sea,POINT (-1.40433215099995 60.324543906),MUS,Mussels,Blue mussels - Mytilus edulis,127,-1.40433215099995,60.324543906
shellfish.5411,311,UK_0301,United Kingdom,Isle of Skye Mussel Company Ltd,n.a.,Inactive,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,126.07873851,At sea,POINT (-5.86455987399995 57.174310753),MUS,Mussels,Blue mussels - Mytilus edulis,127,-5.86455987399995,57.174310753
shellfish.5412,312,UK_0302,United Kingdom,SI Seafarms Ltd,n.a.,Active,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,190.1397674,At sea,POINT (-1.31596907099993 60.2208609520001),MUS,Mussels,Blue mussels - Mytilus edulis,127,-1.31596907099993,60.2208609520001
shellfish.5413,313,UK_0303,United Kingdom,SI Seafarms Ltd,n.a.,Active,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,173.83105106,At sea,POINT (-1.32346517899992 60.2074308370001),MUS,Mussels,Blue mussels - Mytilus edulis,127,-1.3234651789999199,60.2074308370001
shellfish.5414,314,UK_0304,United Kingdom,Highland Council,n.a.,Inactive,Mussels,n.a.,n.a.,n.a.,Common mussel,Original,Farm,143.03641736,At sea,POINT (-5.34834101399997 57.886703739),MUS,Mussels,Blue mussels - Mytilus edulis,127,-5.34834101399997,57.886703739
shellfish.5415,316,UK_0306,United Kingdom,Shetland Mussels Ltd,n.a.,Active,Mussels,Long Lines,Hatchery,n.a.,Common mussel,Original,Farm,71.02728888,At sea,POINT (-1.46982882699996 60.305067766),MUS,Mussels,Blue mussels - Mytilus edulis,127,-1.46982882699996,60.305067766
shellfish.5416,317,UK_0307,United Kingdom,C&A Thomason Ltd,n.a.,Active,Mussels,Long Lines,"Grow out for human consumption, Nursery",n.a.,Common mussel,Original,Farm,195.75352945,At sea,POINT (-1.04705731099995 60.654685999),MUS,Mussels,Blue mussels - Mytilus edulis,127,-1.04705731099995,60.654685999
shellfish.5417,319,UK_0308,United Kingdom,Zetland Mussels Ltd,n.a.,Active,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,193.84671207,At sea,POINT (-1.31459516699994 60.2002020840001),MUS,Mussels,Blue mussels - Mytilus edulis,127,-1.31459516699994,60.2002020840001
shellfish.5418,321,UK_0310,United Kingdom,Inactiverth Maven Marine Ltd,n.a.,Active,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,128.96547541,At sea,POINT (-1.37830345699996 60.3603400100001),MUS,Mussels,Blue mussels - Mytilus edulis,127,-1.37830345699996,60.3603400100001
shellfish.5419,322,UK_0311,United Kingdom,Blueshell Mussels Ltd,n.a.,Active,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,207.19295165,At sea,POINT (-1.35831400299998 60.362938796),MUS,Mussels,Blue mussels - Mytilus edulis,127,-1.35831400299998,60.362938796
shellfish.5420,323,UK_0312,United Kingdom,Shetland Mussels Ltd,n.a.,Active,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,147.99576909,At sea,POINT (-1.45529401899995 60.30860054),MUS,Mussels,Blue mussels - Mytilus edulis,127,-1.45529401899995,60.30860054
shellfish.5421,324,UK_0313,United Kingdom,Blueshell Mussels Ltd,n.a.,Active,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,146.17016778,At sea,POINT (-1.15808389499995 60.3950452560001),MUS,Mussels,Blue mussels - Mytilus edulis,127,-1.15808389499995,60.3950452560001
shellfish.5422,325,UK_0314,United Kingdom,Blueshell Mussels Ltd,n.a.,Active,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,208.88400797,At sea,POINT (-1.19886367999993 60.2121245550001),MUS,Mussels,Blue mussels - Mytilus edulis,127,-1.19886367999993,60.2121245550001
shellfish.5423,326,UK_0315,United Kingdom,A&C Tait,n.a.,Active,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,162.75376818,At sea,POINT (-1.54717649499997 60.2074848140001),MUS,Mussels,Blue mussels - Mytilus edulis,127,-1.54717649499997,60.2074848140001
shellfish.5424,327,UK_0316,United Kingdom,SI Seafarms Ltd,n.a.,Active,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,172.10639926,At sea,POINT (-1.56867178699997 60.219228892),MUS,Mussels,Blue mussels - Mytilus edulis,127,-1.56867178699997,60.219228892
shellfish.5425,328,UK_0317,United Kingdom,Shetland Mussels Ltd,n.a.,Inactive,Mussels,Long Lines,"Grow out for human consumption, Nursery",n.a.,Common mussel,Original,Farm,76.40854694,At sea,POINT (-1.47476725099995 60.335615121),MUS,Mussels,Blue mussels - Mytilus edulis,127,-1.47476725099995,60.335615121
shellfish.5426,329,UK_0318,United Kingdom,Sandsound Mussels,n.a.,Active,Mussels,Long Lines,Hatchery,n.a.,Common mussel,Original,Farm,98.84773945,At sea,POINT (-1.36976590099994 60.2390851920001),MUS,Mussels,Blue mussels - Mytilus edulis,127,-1.36976590099994,60.2390851920001
shellfish.5427,330,UK_0319,United Kingdom,JG & B MacDonald & Sons,n.a.,Active,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,82.54618194,At sea,POINT (-5.57641096699996 57.5316764180001),MUS,Mussels,Blue mussels - Mytilus edulis,127,-5.57641096699996,57.5316764180001
shellfish.5428,331,UK_0320,United Kingdom,JG & B MacDonald & Sons,n.a.,Active,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,79.68936393,At sea,POINT (-5.56491894799996 57.533799833),MUS,Mussels,Blue mussels - Mytilus edulis,127,-5.56491894799996,57.533799833
shellfish.5429,333,UK_0322,United Kingdom,Olansvoe Shellfish,n.a.,Active,Mussels,Long Lines,Hatchery,n.a.,Common mussel,Original,Farm,137.75043382,At sea,POINT (-1.49126581199994 60.2063843940001),MUS,Mussels,Blue mussels - Mytilus edulis,127,-1.49126581199994,60.206384394000096
shellfish.5430,334,UK_0323,United Kingdom,Shetland Mussels Ltd,n.a.,Active,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,214.56953964,At sea,POINT (-1.31072452799998 60.2127526940001),MUS,Mussels,Blue mussels - Mytilus edulis,127,-1.31072452799998,60.2127526940001
shellfish.5431,335,UK_0324,United Kingdom,SI Seafarms Ltd,n.a.,Active,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,157.23531098,At sea,POINT (-1.33609291999994 60.207494615),MUS,Mussels,Blue mussels - Mytilus edulis,127,-1.33609291999994,60.207494615
shellfish.5432,336,UK_0326,United Kingdom,SI Seafarms Ltd,n.a.,Active,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,212.86180581,At sea,POINT (-1.38443422599994 60.323555438),MUS,Mussels,Blue mussels - Mytilus edulis,127,-1.38443422599994,60.323555438
shellfish.5433,337,UK_0327,United Kingdom,Olnafirth Sea Farm Ltd,n.a.,Active,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,211.55922596,At sea,POINT (-1.30382300799994 60.3680522990001),MUS,Mussels,Blue mussels - Mytilus edulis,127,-1.30382300799994,60.3680522990001
shellfish.5434,338,UK_0328,United Kingdom,Blueshell Mussels Ltd,n.a.,Active,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,233.51442035,At sea,POINT (-1.38284400299995 60.311875592),MUS,Mussels,Blue mussels - Mytilus edulis,127,-1.38284400299995,60.311875592
shellfish.5435,341,UK_0331,United Kingdom,Kilchoan Estate Company (KInactiveydart) Ltd,n.a.,Inactive,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,225.45078759,At sea,POINT (-5.64786911099998 56.9911032380001),MUS,Mussels,Blue mussels - Mytilus edulis,127,-5.64786911099998,56.9911032380001
shellfish.5437,343,UK_0333,United Kingdom,Lismore Shellfish,n.a.,Inactive,Mussels,Long Lines,Hatchery,n.a.,Common mussel,Original,Farm,107.19261904,At sea,POINT (-5.46094772299995 56.555903157),MUS,Mussels,Blue mussels - Mytilus edulis,127,-5.46094772299995,56.555903157
shellfish.5438,345,UK_0334,United Kingdom,Olnafirth Sea Farm Ltd,n.a.,Active,Mussels,Long Lines,"Grow out for human consumption, Nursery",n.a.,Common mussel,Original,Farm,131.03344977,At sea,POINT (-1.33833957499996 60.364636783),MUS,Mussels,Blue mussels - Mytilus edulis,127,-1.33833957499996,60.364636783
shellfish.5439,346,UK_0335,United Kingdom,Peter Tait,n.a.,Active,Mussels,n.a.,n.a.,n.a.,Common mussel,Original,Farm,302.77436779,At sea,POINT (-1.51445208699994 60.224428978),MUS,Mussels,Blue mussels - Mytilus edulis,127,-1.51445208699994,60.224428978
shellfish.5440,347,UK_0336,United Kingdom,Blueshell Mussels Ltd,n.a.,Active,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,102.86860259,At sea,POINT (-1.30397608999994 60.3608700280001),MUS,Mussels,Blue mussels - Mytilus edulis,127,-1.30397608999994,60.3608700280001
shellfish.5441,348,UK_0337,United Kingdom,Raven Rock Sea Products Ltd.,n.a.,Active,Mussels,Long Lines,"Grow out for human consumption, Nursery",n.a.,Common mussel,Original,Farm,96.498989,At sea,POINT (-6.45741794399993 58.1313625830001),MUS,Mussels,Blue mussels - Mytilus edulis,127,-6.45741794399993,58.1313625830001
shellfish.5442,349,UK_0338,United Kingdom,Rhivichie Fisheries,n.a.,Active,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,129.34024194,At sea,POINT (-5.01697545899998 58.4414304220001),MUS,Mussels,Blue mussels - Mytilus edulis,127,-5.01697545899998,58.4414304220001
shellfish.5443,351,UK_0340,United Kingdom,Loch Laxford Shellfish Ltd.,n.a.,Inactive,Mussels,Long Lines,"Grow out for human consumption, Nursery",n.a.,Common mussel,Original,Farm,96.79327451,At sea,POINT (-5.00671244599994 58.441671705),MUS,Mussels,Blue mussels - Mytilus edulis,127,-5.00671244599994,58.441671705
shellfish.5444,352,UK_0341,United Kingdom,Loch Fyne Oysters Ltd,n.a.,Inactive,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,108.23459504,At sea,POINT (-6.82684311999998 58.2348294080001),MUS,Mussels,Blue mussels - Mytilus edulis,127,-6.82684311999998,58.2348294080001
shellfish.5445,353,UK_0342,United Kingdom,SI Seafarms Ltd,n.a.,Active,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,239.87135146,At sea,POINT (-1.58312065299998 60.218377165),MUS,Mussels,Blue mussels - Mytilus edulis,127,-1.58312065299998,60.218377165
shellfish.5446,354,UK_0343,United Kingdom,Blueshell Mussels Ltd,n.a.,Active,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,124.0858057,At sea,POINT (-1.40455095199997 60.511301351),MUS,Mussels,Blue mussels - Mytilus edulis,127,-1.40455095199997,60.511301351
shellfish.5447,355,UK_0344,United Kingdom,Blueshell Mussels Ltd,n.a.,Active,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,120.12346764,At sea,POINT (-1.40638821999994 60.5104116750001),MUS,Mussels,Blue mussels - Mytilus edulis,127,-1.40638821999994,60.5104116750001
shellfish.5448,356,UK_0345,United Kingdom,Loch Eriboll Oysters Ltd,n.a.,Inactive,Mussels,Long Lines,"Grow out for human consumption, Nursery",n.a.,Common mussel,Original,Farm,199.45376895,At sea,POINT (-4.71219364199993 58.4895786860001),MUS,Mussels,Blue mussels - Mytilus edulis,127,-4.71219364199993,58.4895786860001
shellfish.5449,358,UK_0347,United Kingdom,Muckairn Mussels,n.a.,Inactive,Mussels,Rafts,Grow out for human consumption,n.a.,Common mussel,Original,Farm,54.16557301,At sea,POINT (-5.31388738499993 56.456531635),MUS,Mussels,Blue mussels - Mytilus edulis,127,-5.31388738499993,56.456531635
shellfish.5450,359,UK_0348,United Kingdom,Cape Wrath Mussels,n.a.,Active,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,256.58658356,At sea,POINT (-4.74086456599997 58.461113196),MUS,Mussels,Blue mussels - Mytilus edulis,127,-4.74086456599997,58.461113196
shellfish.5451,360,UK_0349,United Kingdom,Western Isles Mussels,n.a.,Active,Mussels,Long Lines,Hatchery,n.a.,Common mussel,Original,Farm,246.53217854,At sea,POINT (-6.54909530999993 58.0903430910001),MUS,Mussels,Blue mussels - Mytilus edulis,127,-6.54909530999993,58.0903430910001
shellfish.5452,361,UK_0350,United Kingdom,Muckairn Mussels,n.a.,Inactive,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,131.46338924,At sea,POINT (-5.29761129899993 56.456066546),MUS,Mussels,Blue mussels - Mytilus edulis,127,-5.29761129899993,56.456066546
shellfish.5453,369,UK_0358,United Kingdom,Sandsound Mussels,n.a.,Active,Mussels,Saltwater tanks/raceways,Hatchery,n.a.,Common mussel,Original,Farm,211.66543173,At sea,POINT (-1.37184646699995 60.2247287230001),MUS,Mussels,Blue mussels - Mytilus edulis,127,-1.37184646699995,60.2247287230001
shellfish.5454,371,UK_0360,United Kingdom,Loch Fyne Oysters Ltd,n.a.,Active,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,296.34623251,At sea,POINT (-6.78250283499995 58.196920704),MUS,Mussels,Blue mussels - Mytilus edulis,127,-6.78250283499995,58.196920704
shellfish.5455,372,UK_0361,United Kingdom,Hunter Salmon (Shellfish),n.a.,Active,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,135.86915763,At sea,POINT (-1.23755588599994 60.4107878890001),MUS,Mussels,Blue mussels - Mytilus edulis,127,-1.23755588599994,60.4107878890001
shellfish.5456,373,UK_0362,United Kingdom,Hunter Salmon (Shellfish),n.a.,Active,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,161.78532773,At sea,POINT (-1.22470024999996 60.4169989100001),MUS,Mussels,Blue mussels - Mytilus edulis,127,-1.22470024999996,60.4169989100001
shellfish.5457,374,UK_0363,United Kingdom,Selivoe Shellfish,n.a.,Active,Mussels,Long Lines,"Grow out for human consumption, Nursery",n.a.,Common mussel,Original,Farm,207.80407525,At sea,POINT (-1.50715145899994 60.229789392),MUS,Mussels,Blue mussels - Mytilus edulis,127,-1.50715145899994,60.229789392
shellfish.5458,376,UK_0365,United Kingdom,Alisdair Cunningham,n.a.,Active,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,192.45196588,At sea,POINT (-6.71593027299997 58.0033087530001),MUS,Mussels,Blue mussels - Mytilus edulis,127,-6.71593027299997,58.0033087530001
shellfish.5459,377,UK_0366,United Kingdom,Alisdair Cunningham,n.a.,Active,Mussels,Long Lines,Hatchery,n.a.,Common mussel,Original,Farm,279.46983419,At sea,POINT (-6.71407910699998 57.976391984),MUS,Mussels,Blue mussels - Mytilus edulis,127,-6.71407910699998,57.976391984
shellfish.5460,378,UK_0367,United Kingdom,Shetland Mussels Ltd,n.a.,Active,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,161.32272382,At sea,POINT (-1.46419497199997 60.317615468),MUS,Mussels,Blue mussels - Mytilus edulis,127,-1.46419497199997,60.317615468
shellfish.5461,379,UK_0368,United Kingdom,Blueshell Mussels Ltd,n.a.,Active,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,99.94685196,At sea,POINT (-1.40106917599996 60.2060079820001),MUS,Mussels,Blue mussels - Mytilus edulis,127,-1.40106917599996,60.2060079820001
shellfish.5462,380,UK_0369,United Kingdom,Selivoe Shellfish,n.a.,Active,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,20.63266733,At sea,POINT (-1.49472192599995 60.2162743710001),MUS,Mussels,Blue mussels - Mytilus edulis,127,-1.49472192599995,60.2162743710001
shellfish.5463,382,UK_0371,United Kingdom,Loch Laxford Shellfish Ltd.,n.a.,Active,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,123.17014848,At sea,POINT (-5.05576892699997 58.3946773960001),MUS,Mussels,Blue mussels - Mytilus edulis,127,-5.05576892699997,58.3946773960001
shellfish.5464,383,UK_0372,United Kingdom,O-Fish-Shell Ltd,n.a.,Inactive,Mussels,Rafts,"Grow out for human consumption, Nursery",n.a.,Common mussel,Original,Farm,132.5265281,At sea,POINT (-5.20173243699998 56.454983247),MUS,Mussels,Blue mussels - Mytilus edulis,127,-5.20173243699998,56.454983247
shellfish.5466,385,UK_0375,United Kingdom,Douglas Wilson,n.a.,Inactive,Mussels,Long Lines,"Grow out for human consumption, Nursery",n.a.,Common mussel,Original,Farm,139.2154229,At sea,POINT (-5.71957845299994 56.48728319),MUS,Mussels,Blue mussels - Mytilus edulis,127,-5.71957845299994,56.48728319
shellfish.5467,386,UK_0376,United Kingdom,Lewis Mussels,n.a.,Active,Mussels,Long Lines,Hatchery,n.a.,Common mussel,Original,Farm,281.03694608,At sea,POINT (-6.45485506599994 58.0972763880001),MUS,Mussels,Blue mussels - Mytilus edulis,127,-6.45485506599994,58.0972763880001
shellfish.5468,387,UK_0377,United Kingdom,Muckairn Mussels,n.a.,Inactive,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,204.0862127,At sea,POINT (-5.28426525899994 56.4519258500001),MUS,Mussels,Blue mussels - Mytilus edulis,127,-5.28426525899994,56.4519258500001
shellfish.5469,389,UK_0379,United Kingdom,C&A Thomason Ltd,n.a.,Active,Mussels,Long Lines,Hatchery,n.a.,Common mussel,Original,Farm,181.23598923,At sea,POINT (-1.30688293599997 60.138206245),MUS,Mussels,Blue mussels - Mytilus edulis,127,-1.30688293599997,60.138206245
shellfish.5472,400,UK_0390,United Kingdom,Loch Eishort Mussel Centre,n.a.,Active,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,215.52308769,At sea,POINT (-5.86502831199994 57.1787920150001),MUS,Mussels,Blue mussels - Mytilus edulis,127,-5.86502831199994,57.1787920150001
shellfish.5473,401,UK_0391,United Kingdom,Pund Shellfish,n.a.,Active,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,81.32839196,At sea,POINT (-1.31316667999994 60.1822365730001),MUS,Mussels,Blue mussels - Mytilus edulis,127,-1.31316667999994,60.1822365730001
shellfish.5474,17,UK_0392,United Kingdom,Sunart Sea Farm Ltd,n.a.,Inactive,Mussels,n.a.,n.a.,n.a.,Common mussel,Original,Farm,100.1934546,Within the coastline,POINT (-5.75962643699995 56.7108615540001),MUS,Mussels,Blue mussels - Mytilus edulis,127,-5.75962643699995,56.7108615540001
shellfish.5475,404,UK_0395,United Kingdom,Western Isles Mussels,n.a.,Inactive,Mussels,n.a.,n.a.,n.a.,Common mussel,Original,Farm,77.73615169,At sea,POINT (-6.38583390499997 58.1437419040001),MUS,Mussels,Blue mussels - Mytilus edulis,127,-6.38583390499997,58.1437419040001
shellfish.5476,405,UK_0396,United Kingdom,Pund Shellfish,n.a.,Active,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,14.92279127,At sea,POINT (-1.32052530299995 60.175091218),MUS,Mussels,Blue mussels - Mytilus edulis,127,-1.32052530299995,60.175091218
shellfish.5479,408,UK_0400,United Kingdom,Measan Na Mara (Fruit of the Sea) Ltd,n.a.,Inactive,Mussels,Long Lines,"Grow out for human consumption, Nursery",n.a.,Common mussel,Original,Farm,143.27559808,At sea,POINT (-5.87741081899998 56.7908707990001),MUS,Mussels,Blue mussels - Mytilus edulis,127,-5.87741081899998,56.7908707990001
shellfish.5480,410,UK_0402,United Kingdom,Shetland Mussels Ltd,n.a.,Active,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,257.2296075,At sea,POINT (-1.48782442999993 60.3114234230001),MUS,Mussels,Blue mussels - Mytilus edulis,127,-1.48782442999993,60.3114234230001
shellfish.5481,411,UK_0403,United Kingdom,Shetland Mussels Ltd,n.a.,Active,Mussels,Long Lines,Hatchery,n.a.,Common mussel,Original,Farm,196.65778883,At sea,POINT (-1.37202005899996 60.3100291540001),MUS,Mussels,Blue mussels - Mytilus edulis,127,-1.37202005899996,60.3100291540001
shellfish.5482,414,UK_0406,United Kingdom,Alisdair Cunningham,n.a.,Inactive,Mussels,Long Lines,"Grow out for human consumption, Nursery",n.a.,Common mussel,Original,Farm,119.70834813,At sea,POINT (-6.68291210099994 57.8803995960001),MUS,Mussels,Blue mussels - Mytilus edulis,127,-6.68291210099994,57.8803995960001
shellfish.5483,417,UK_0409,United Kingdom,Loch Fyne Oysters Ltd,n.a.,Active,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,187.91926115,At sea,POINT (-6.86796499099995 58.186486416),MUS,Mussels,Blue mussels - Mytilus edulis,127,-6.86796499099995,58.186486416
shellfish.5484,418,UK_0410,United Kingdom,Zetland Mussels Ltd,n.a.,Inactive,Mussels,Long Lines,Grow out for human consumption,n.a.,Common mussel,Original,Farm,294.13821606,At sea,POINT (-1.31041045899997 60.055616087),MUS,Mussels,Blue mussels - Mytilus edulis,127,-1.31041045899997,60.055616087
