FID,id,site_id,country,owner,area_name,status,farmtype,prod_method,prod_stage,purpose,species,position_info,point_def,distance_to_shore_m,costal_inland,the_geom,eurostatcode,species_group,species_name,speciesid,x,y
shellfish.4843,233,IE_0814,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,46.38753883,At sea,POINT (-9.03287150899996 51.556450537),F53,Oysters,n.a.,128,-9.03287150899996,51.556450537
shellfish.4844,234,IE_0815,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,89.41217285,At sea,POINT (-9.02800011199997 51.573908111),F53,Oysters,n.a.,128,-9.02800011199997,51.573908111
shellfish.4845,235,IE_0816,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,62.23144914,At sea,POINT (-8.96528374899998 53.236772553),F53,Oysters,n.a.,128,-8.96528374899998,53.236772553
shellfish.4846,236,IE_0817,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,70.33482222,At sea,POINT (-8.54428212099998 51.7001727200001),F53,Oysters,n.a.,128,-8.54428212099998,51.7001727200001
shellfish.4847,737,IE_0818,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,53.26484579,Within the coastline,POINT (-8.55231066499994 51.6992711170001),F53,Oysters,n.a.,128,-8.55231066499994,51.6992711170001
shellfish.4848,245,IE_0819,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,15.38575981,At sea,POINT (-8.54282759099993 51.6952404350001),F53,Oysters,n.a.,128,-8.54282759099993,51.6952404350001
shellfish.4849,246,IE_0820,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,43.92770278,At sea,POINT (-9.41668215299995 51.4764170400001),F53,Oysters,n.a.,128,-9.41668215299995,51.4764170400001
shellfish.4850,247,IE_0821,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,90.58526124,At sea,POINT (-9.53936855399996 51.7456683940001),F53,Oysters,n.a.,128,-9.53936855399996,51.7456683940001
shellfish.4851,241,IE_0822,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,253.01599545,At sea,POINT (-8.14861954899993 54.633679747),F53,Oysters,n.a.,128,-8.14861954899993,54.633679747
shellfish.4853,243,IE_0824,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,832.88532224,At sea,POINT (-7.28637789299995 55.286206742),F53,Oysters,n.a.,128,-7.28637789299995,55.286206742
