FID,id,site_id,country,owner,area_name,status,farmtype,prod_method,prod_stage,purpose,species,position_info,point_def,distance_to_shore_m,costal_inland,the_geom,eurostatcode,species_group,species_name,speciesid,x,y
shellfish.64,485,DK_0028,Denmark,Blå Biomasse A/S,n.a.,n.a.,Mussels,n.a.,Grow out for human consumption,n.a.,Blue Mussel,Original,Farm,560.72982289,At sea,POINT (8.57605328000005 56.5686396200001),MUS,Mussels,Blue mussels - Mytilus edulis,127,8.57605328000005,56.5686396200001
shellfish.65,486,DK_0029,Denmark,Sømad Aps,n.a.,n.a.,Mussels,n.a.,Grow out for human consumption,n.a.,Blue Mussel,Original,Farm,692.7955938,At sea,POINT (8.64443514700002 56.625939164),MUS,Mussels,Blue mussels - Mytilus edulis,127,8.64443514700002,56.625939164
shellfish.66,487,DK_0030,Denmark,Blå Biomasse A/S,n.a.,n.a.,Mussels,n.a.,Grow out for human consumption,n.a.,Blue Mussel,Original,Farm,432.57882764,At sea,POINT (8.57298835800003 56.574900111),MUS,Mussels,Blue mussels - Mytilus edulis,127,8.57298835800003,56.574900111
shellfish.67,489,DK_0033,Denmark,Danmarks Tekniske Universitet,n.a.,n.a.,Mussels,n.a.,Grow out for human consumption,n.a.,Blue Mussel,Original,Farm,481.86005952,At sea,POINT (8.91540708300005 56.784832985),MUS,Mussels,Blue mussels - Mytilus edulis,127,8.91540708300005,56.784832985
shellfish.68,490,DK_0035,Denmark,Shellfish Limfjord Aps,n.a.,n.a.,Mussels,n.a.,Grow out for human consumption,n.a.,Blue Mussel,Original,Farm,932.49483962,At sea,POINT (8.87115103500003 56.8202348980001),MUS,Mussels,Blue mussels - Mytilus edulis,127,8.87115103500003,56.8202348980001
shellfish.69,491,DK_0036,Denmark,Shellfish Limfjord Aps,n.a.,n.a.,Mussels,n.a.,Grow out for human consumption,n.a.,Blue Mussel,Original,Farm,327.09078914,At sea,POINT (8.82013202000007 56.6978117080001),MUS,Mussels,Blue mussels - Mytilus edulis,127,8.82013202000007,56.6978117080001
shellfish.70,492,DK_0037,Denmark,Seafood Limfjord Aps,n.a.,n.a.,Mussels,n.a.,Grow out for human consumption,n.a.,Blue Mussel,Original,Farm,731.01334155,At sea,POINT (8.85207600900003 56.842380963),MUS,Mussels,Blue mussels - Mytilus edulis,127,8.85207600900003,56.842380963
shellfish.71,493,DK_0038,Denmark,Wittrup Seafood A/S,n.a.,n.a.,Mussels,n.a.,Grow out for human consumption,n.a.,Blue Mussel,Original,Farm,432.9663733,At sea,POINT (9.16503776600007 56.7010890010001),MUS,Mussels,Blue mussels - Mytilus edulis,127,9.16503776600007,56.7010890010001
shellfish.72,494,DK_0039,Denmark,Muslingeriet v/Mark Lykke,n.a.,n.a.,Mussels,n.a.,Grow out for human consumption,n.a.,Blue Mussel,Original,Farm,546.89873236,At sea,POINT (9.15540589300002 56.7329525860001),MUS,Mussels,Blue mussels - Mytilus edulis,127,9.15540589300002,56.7329525860001
shellfish.73,495,DK_0040,Denmark,Wittrup Seafood A/S,n.a.,n.a.,Mussels,n.a.,Grow out for human consumption,n.a.,Blue Mussel,Original,Farm,461.58679179,At sea,POINT (9.12676113600003 56.67076186),MUS,Mussels,Blue mussels - Mytilus edulis,127,9.12676113600003,56.67076186
